
*** Running under Rosetta 2: x86 code is being translated to ARM.
*** Use these numbers for smoke-testing only; benchmark on native x86-64.

2026-09-24T22:25:50+08:00
Running ./build/bm_itch
Run on (15 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 8192 KiB (x15)
Load Average: 2.57, 4.71, 4.46
WARNING: running under Rosetta 2 translation: timings are NOT representative
itch_simd_level: SSE4.1
----------------------------------------------------------------------------------------------------------------------
Benchmark                                                            Time             CPU   Iterations UserCounters...
BM_LevelSearch/branchless_binary/depth:128/uniform:0_mean         9.85 ns         9.85 ns            3 items_per_second=101.57M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:0_median       9.85 ns         9.84 ns            3 items_per_second=101.589M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:0_stddev      0.006 ns        0.005 ns            3 items_per_second=51.2907k/s
BM_LevelSearch/branchless_binary/depth:128/uniform:0_cv           0.06 %          0.05 %             3 items_per_second=0.05%
BM_LevelSearch/branchless_binary/depth:128/uniform:1_mean         21.3 ns         21.3 ns            3 items_per_second=47.0438M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:1_median       21.3 ns         21.3 ns            3 items_per_second=47.0012M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:1_stddev      0.059 ns        0.060 ns            3 items_per_second=133.333k/s
BM_LevelSearch/branchless_binary/depth:128/uniform:1_cv           0.28 %          0.28 %             3 items_per_second=0.28%
BM_LevelSearch/branchless_binary/depth:512/uniform:0_mean         11.4 ns         11.4 ns            3 items_per_second=87.6165M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:0_median       11.4 ns         11.4 ns            3 items_per_second=87.6614M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:0_stddev      0.010 ns        0.011 ns            3 items_per_second=87.1718k/s
BM_LevelSearch/branchless_binary/depth:512/uniform:0_cv           0.09 %          0.10 %             3 items_per_second=0.10%
BM_LevelSearch/branchless_binary/depth:512/uniform:1_mean         26.3 ns         26.3 ns            3 items_per_second=38.0405M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:1_median       26.3 ns         26.3 ns            3 items_per_second=38.018M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:1_stddev      0.145 ns        0.145 ns            3 items_per_second=209.599k/s
BM_LevelSearch/branchless_binary/depth:512/uniform:1_cv           0.55 %          0.55 %             3 items_per_second=0.55%
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_mean            1.97 ns         1.97 ns            3 items_per_second=507.757M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_median          1.97 ns         1.97 ns            3 items_per_second=508.12M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_stddev         0.009 ns        0.009 ns            3 items_per_second=2.43069M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_cv              0.47 %          0.48 %             3 items_per_second=0.48%
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_mean            2.26 ns         2.26 ns            3 items_per_second=443.324M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_median          2.25 ns         2.24 ns            3 items_per_second=445.574M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_stddev         0.023 ns        0.022 ns            3 items_per_second=4.39322M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_cv              1.00 %          1.00 %             3 items_per_second=0.99%
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_mean           2.08 ns         2.08 ns            3 items_per_second=481.243M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_median         2.08 ns         2.08 ns            3 items_per_second=481.76M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_stddev        0.014 ns        0.014 ns            3 items_per_second=3.28857M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_cv             0.68 %          0.68 %             3 items_per_second=0.68%
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_mean           8.81 ns         8.81 ns            3 items_per_second=113.56M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_median         8.79 ns         8.78 ns            3 items_per_second=113.843M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_stddev        0.055 ns        0.055 ns            3 items_per_second=708.139k/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_cv             0.62 %          0.63 %             3 items_per_second=0.62%
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_mean          2.07 ns         2.07 ns            3 items_per_second=483.419M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_median        2.07 ns         2.07 ns            3 items_per_second=484.005M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_stddev       0.006 ns        0.006 ns            3 items_per_second=1.35656M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_cv            0.27 %          0.28 %             3 items_per_second=0.28%
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_mean          23.4 ns         23.4 ns            3 items_per_second=42.6839M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_median        23.5 ns         23.4 ns            3 items_per_second=42.6665M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_stddev       0.043 ns        0.039 ns            3 items_per_second=71.9168k/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_cv            0.18 %          0.17 %             3 items_per_second=0.17%
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_mean          2.07 ns         2.07 ns            3 items_per_second=482.254M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_median        2.08 ns         2.08 ns            3 items_per_second=480.037M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_stddev       0.022 ns        0.022 ns            3 items_per_second=5.22313M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_cv            1.08 %          1.08 %             3 items_per_second=1.08%
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_mean          35.2 ns         35.2 ns            3 items_per_second=28.4273M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_median        35.2 ns         35.2 ns            3 items_per_second=28.4298M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_stddev       0.037 ns        0.037 ns            3 items_per_second=30.0045k/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_cv            0.11 %          0.11 %             3 items_per_second=0.11%
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_mean              2.66 ns         2.66 ns            3 items_per_second=376.033M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_median            2.66 ns         2.66 ns            3 items_per_second=375.84M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_stddev           0.002 ns        0.003 ns            3 items_per_second=368.453k/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_cv                0.09 %          0.10 %             3 items_per_second=0.10%
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_mean              2.74 ns         2.74 ns            3 items_per_second=365.003M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_median            2.74 ns         2.74 ns            3 items_per_second=365.011M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_stddev           0.002 ns        0.002 ns            3 items_per_second=276.052k/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_cv                0.06 %          0.08 %             3 items_per_second=0.08%
