note: Rosetta 2 hides avx2 bmi2 bmi movbe lzcnt fma f16c from CPUID but executes it; continuing

*** Running under Rosetta 2: x86 code is being translated to ARM.
*** Use these numbers for smoke-testing only; benchmark on native x86-64.

2026-09-24T22:30:02+08:00
Running ./build/bm_itch_avx2
Run on (15 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 8192 KiB (x15)
Load Average: 4.62, 4.67, 4.49
WARNING: running under Rosetta 2 translation: timings are NOT representative
itch_simd_level: AVX2
----------------------------------------------------------------------------------------------------------------------
Benchmark                                                            Time             CPU   Iterations UserCounters...
BM_LevelSearch/branchless_binary/depth:32/uniform:1_cv            1.81 %          1.81 %             3 items_per_second=1.83%
BM_LevelSearch/branchless_binary/depth:128/uniform:0_mean         10.1 ns         10.1 ns            3 items_per_second=98.8287M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:0_median       10.1 ns         10.1 ns            3 items_per_second=98.8509M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:0_stddev      0.026 ns        0.024 ns            3 items_per_second=233.523k/s
BM_LevelSearch/branchless_binary/depth:128/uniform:0_cv           0.26 %          0.24 %             3 items_per_second=0.24%
BM_LevelSearch/branchless_binary/depth:128/uniform:1_mean         17.7 ns         17.7 ns            3 items_per_second=56.4325M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:1_median       17.6 ns         17.6 ns            3 items_per_second=56.9154M/s
BM_LevelSearch/branchless_binary/depth:128/uniform:1_stddev      0.301 ns        0.300 ns            3 items_per_second=946.84k/s
BM_LevelSearch/branchless_binary/depth:128/uniform:1_cv           1.70 %          1.69 %             3 items_per_second=1.68%
BM_LevelSearch/branchless_binary/depth:512/uniform:0_mean         11.9 ns         11.9 ns            3 items_per_second=84.1486M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:0_median       11.9 ns         11.9 ns            3 items_per_second=84.3176M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:0_stddev      0.056 ns        0.055 ns            3 items_per_second=388.733k/s
BM_LevelSearch/branchless_binary/depth:512/uniform:0_cv           0.47 %          0.46 %             3 items_per_second=0.46%
BM_LevelSearch/branchless_binary/depth:512/uniform:1_mean         24.5 ns         24.5 ns            3 items_per_second=40.8517M/s
BM_LevelSearch/branchless_binary/depth:512/uniform:1_median       24.5 ns         24.5 ns            3 items_per_second=40.7855M/s
