session_time_s,messages,seconds,mmsg_s,ns_per_msg
19658.875,2000000,0.060771,32.910,30.386
25663.406,2000000,0.064143,31.180,32.072
30225.160,2000000,0.067512,29.625,33.756
33071.483,2000000,0.068694,29.115,34.347
34165.143,2000000,0.047511,42.096,23.755
34217.602,2000000,0.089864,22.256,44.932
34295.043,2000000,0.100122,19.976,50.061
34390.982,2000000,0.085469,23.400,42.735
34481.932,2000000,0.084612,23.637,42.306
34569.034,2000000,0.084040,23.798,42.020
34661.253,2000000,0.083492,23.954,41.746
34744.319,2000000,0.087405,22.882,43.702
34838.563,2000000,0.085124,23.495,42.562
34924.577,2000000,0.087010,22.986,43.505
35025.425,2000000,0.082079,24.367,41.040
35110.008,2000000,0.083635,23.913,41.818
35216.685,2000000,0.083941,23.826,41.970
35314.258,2000000,0.084445,23.684,42.222
35417.911,2000000,0.084950,23.543,42.475
35530.696,2000000,0.082898,24.126,41.449
35644.015,2000000,0.083004,24.095,41.502
35759.921,2000000,0.084524,23.662,42.262
35869.450,2000000,0.083149,24.053,41.574
35995.941,2000000,0.086342,23.164,43.171
36104.570,2000000,0.083206,24.037,41.603
36199.749,2000000,0.085020,23.524,42.510
36312.254,2000000,0.110160,18.155,55.080
36422.824,2000000,0.083868,23.847,41.934
36546.307,2000000,0.082451,24.257,41.226
36666.173,2000000,0.081732,24.470,40.866
36770.351,2000000,0.082656,24.197,41.328
36899.515,2000000,0.081489,24.543,40.744
37024.744,2000000,0.083086,24.071,41.543
37147.383,2000000,0.081539,24.528,40.769
37266.736,2000000,0.080995,24.693,40.498
37404.678,2000000,0.080020,24.994,40.010
37551.304,2000000,0.080153,24.952,40.076
37695.858,2000000,0.078718,25.407,39.359
37834.840,2000000,0.079717,25.089,39.858
37965.713,2000000,0.078723,25.406,39.361
38083.022,2000000,0.079855,25.045,39.927
38221.772,2000000,0.078715,25.408,39.358
38322.631,2000000,0.078772,25.390,39.386
38453.043,2000000,0.075784,26.391,37.892
38600.184,2000000,0.076307,26.210,38.154
38727.574,2000000,0.076438,26.165,38.219
38872.712,2000000,0.075521,26.483,37.761
39021.534,2000000,0.077912,25.670,38.956
39179.234,2000000,0.076654,26.091,38.327
39311.317,2000000,0.075136,26.618,37.568
39444.915,2000000,0.074235,26.942,37.117
39584.264,2000000,0.073910,27.060,36.955
39666.735,2000000,0.076032,26.305,38.016
39771.449,2000000,0.083856,23.850,41.928
39897.848,2000000,0.081626,24.502,40.813
40047.734,2000000,0.081451,24.555,40.726
40193.671,2000000,0.081837,24.439,40.919
40319.408,2000000,0.081336,24.589,40.668
40473.428,2000000,0.080629,24.805,40.315
40613.860,2000000,0.078422,25.503,39.211
40766.178,2000000,0.077764,25.719,38.882
40922.220,2000000,0.077999,25.641,38.999
41065.029,2000000,0.077388,25.844,38.694
41223.294,2000000,0.075907,26.348,37.953
41384.877,2000000,0.076093,26.284,38.047
41537.962,2000000,0.077361,25.853,38.680
41699.591,2000000,0.077034,25.963,38.517
41861.903,2000000,0.077008,25.971,38.504
42026.217,2000000,0.076959,25.988,38.480
42192.138,2000000,0.078222,25.568,39.111
42344.005,2000000,0.078196,25.577,39.098
42516.285,2000000,0.076694,26.078,38.347
42694.776,2000000,0.076522,26.136,38.261
42872.066,2000000,0.076614,26.105,38.307
43060.769,2000000,0.078141,25.595,39.071
43243.439,2000000,0.077645,25.758,38.822
43396.661,2000000,0.076882,26.014,38.441
43590.582,2000000,0.079553,25.140,39.776
43791.808,2000000,0.076806,26.040,38.403
43999.242,2000000,0.078646,25.431,39.323
44209.414,2000000,0.074094,26.993,37.047
44378.447,2000000,0.076129,26.271,38.065
44539.305,2000000,0.075934,26.339,37.967
44705.399,2000000,0.075586,26.460,37.793
44902.006,2000000,0.074699,26.774,37.350
45111.599,2000000,0.075350,26.543,37.675
45287.963,2000000,0.076718,26.070,38.359
45471.363,2000000,0.075368,26.537,37.684
45680.174,2000000,0.076195,26.248,38.098
45873.153,2000000,0.073864,27.077,36.932
46078.149,2000000,0.072614,27.543,36.307
46308.066,2000000,0.077662,25.753,38.831
46535.464,2000000,0.077438,25.827,38.719
46761.310,2000000,0.078108,25.605,39.054
46986.835,2000000,0.077206,25.905,38.603
47218.562,2000000,0.076345,26.197,38.173
47462.206,2000000,0.077241,25.893,38.620
47706.880,2000000,0.076834,26.030,38.417
47950.049,2000000,0.076544,26.129,38.272
48132.680,2000000,0.079181,25.258,39.591
48330.658,2000000,0.078734,25.402,39.367
48573.812,2000000,0.076967,25.985,38.483
48795.498,2000000,0.076389,26.182,38.194
49033.868,2000000,0.074547,26.829,37.274
49272.582,2000000,0.075686,26.425,37.843
49492.061,2000000,0.075828,26.376,37.914
49670.679,2000000,0.078025,25.633,39.013
49862.978,2000000,0.076006,26.314,38.003
50053.839,2000000,0.076566,26.121,38.283
50234.970,2000000,0.076975,25.982,38.487
50405.346,2000000,0.082046,24.376,41.023
50434.743,2000000,0.096447,20.737,48.224
50480.245,2000000,0.092845,21.541,46.423
50566.408,2000000,0.089263,22.406,44.631
50656.324,2000000,0.087846,22.767,43.923
50747.361,2000000,0.087327,22.902,43.664
50878.913,2000000,0.083689,23.898,41.845
51002.854,2000000,0.082793,24.157,41.397
51081.272,2000000,0.075116,26.626,37.558
51177.983,2000000,0.075923,26.343,37.961
51279.702,2000000,0.074264,26.931,37.132
51342.528,2000000,0.076757,26.056,38.379
51427.451,2000000,0.076789,26.046,38.394
51513.844,2000000,0.076116,26.276,38.058
51621.253,2000000,0.075010,26.663,37.505
51698.213,2000000,0.076867,26.019,38.433
51793.917,2000000,0.076615,26.105,38.307
51901.849,2000000,0.073894,27.066,36.947
52035.891,2000000,0.071333,28.037,35.667
52146.460,2000000,0.071691,27.897,35.846
52266.816,2000000,0.076017,26.310,38.008
52377.673,2000000,0.076455,26.159,38.228
52498.137,2000000,0.075429,26.515,37.715
52579.597,2000000,0.076658,26.090,38.329
52668.550,2000000,0.077590,25.776,38.795
52757.084,2000000,0.077610,25.770,38.805
52863.370,2000000,0.076587,26.114,38.293
52991.853,2000000,0.075248,26.579,37.624
53090.291,2000000,0.077884,25.679,38.942
53205.940,2000000,0.078118,25.602,39.059
53304.784,2000000,0.077919,25.668,38.959
53444.480,2000000,0.074955,26.683,37.478
53537.938,2000000,0.076786,26.046,38.393
53614.587,2000000,0.079764,25.074,39.882
53731.133,2000000,0.077782,25.713,38.891
53830.793,2000000,0.077714,25.735,38.857
53950.304,2000000,0.077778,25.714,38.889
54083.080,2000000,0.076353,26.194,38.176
54213.765,2000000,0.076007,26.313,38.004
54320.251,2000000,0.075674,26.429,37.837
54428.861,2000000,0.077270,25.883,38.635
54558.086,2000000,0.076748,26.059,38.374
54660.144,2000000,0.079110,25.281,39.555
54763.798,2000000,0.077152,25.923,38.576
54897.464,2000000,0.075524,26.482,37.762
55014.416,2000000,0.076207,26.244,38.103
55138.809,2000000,0.076873,26.017,38.436
55264.898,2000000,0.076828,26.032,38.414
55373.880,2000000,0.074763,26.751,37.382
55500.897,2000000,0.074521,26.838,37.261
55657.830,2000000,0.072851,27.453,36.426
55770.504,2000000,0.074712,26.770,37.356
55866.370,2000000,0.075277,26.568,37.639
55974.085,2000000,0.074971,26.677,37.485
56088.321,2000000,0.073886,27.069,36.943
56178.337,2000000,0.074898,26.703,37.449
56318.039,2000000,0.071038,28.154,35.519
56431.440,2000000,0.072037,27.764,36.018
56523.415,2000000,0.071550,27.952,35.775
56643.671,2000000,0.073694,27.139,36.847
56733.452,2000000,0.075697,26.421,37.849
56850.012,2000000,0.074894,26.704,37.447
56982.362,2000000,0.072660,27.526,36.330
57085.871,2000000,0.073275,27.295,36.637
57187.026,2000000,0.073471,27.222,36.735
57282.905,2000000,0.072492,27.589,36.246
57323.378,2000000,0.074690,26.777,37.345
57378.883,2000000,0.064637,30.942,32.319
57440.649,2000000,0.061531,32.504,30.766
57496.013,2000000,0.066711,29.980,33.356
57547.532,2000000,0.067167,29.776,33.584
57583.860,2000000,0.073141,27.345,36.570
57600.677,2000000,0.090588,22.078,45.294
64897.609,2000000,0.086474,23.128,43.237
72300.000,366634,0.013139,27.903,35.838
