session_time_s,messages,seconds,mmsg_s,ns_per_msg
19658.875,2000000,0.057853,34.570,28.927
25663.406,2000000,0.061465,32.539,30.732
30225.160,2000000,0.064341,31.085,32.170
33071.483,2000000,0.065015,30.762,32.508
34165.143,2000000,0.044601,44.842,22.300
34217.602,2000000,0.086399,23.149,43.199
34295.043,2000000,0.099929,20.014,49.965
34390.982,2000000,0.084427,23.689,42.214
34481.932,2000000,0.082782,24.160,41.391
34569.034,2000000,0.081098,24.662,40.549
34661.253,2000000,0.080049,24.985,40.025
34744.319,2000000,0.082672,24.192,41.336
34838.563,2000000,0.081351,24.585,40.675
34924.577,2000000,0.083099,24.068,41.549
35025.425,2000000,0.081428,24.562,40.714
35110.008,2000000,0.084089,23.784,42.045
35216.685,2000000,0.080048,24.985,40.024
35314.258,2000000,0.081566,24.520,40.783
35417.911,2000000,0.082982,24.102,41.491
35530.696,2000000,0.079353,25.204,39.677
35644.015,2000000,0.078078,25.615,39.039
35759.921,2000000,0.078495,25.479,39.248
35869.450,2000000,0.077870,25.684,38.935
35995.941,2000000,0.079909,25.029,39.954
36104.570,2000000,0.078787,25.385,39.394
36199.749,2000000,0.078723,25.406,39.361
36312.254,2000000,0.079383,25.194,39.692
36422.824,2000000,0.078471,25.487,39.235
36546.307,2000000,0.077309,25.870,38.655
36666.173,2000000,0.075407,26.523,37.704
36770.351,2000000,0.077802,25.706,38.901
36899.515,2000000,0.078167,25.586,39.084
37024.744,2000000,0.076340,26.199,38.170
37147.383,2000000,0.073800,27.100,36.900
37266.736,2000000,0.075431,26.514,37.716
37404.678,2000000,0.074148,26.973,37.074
37551.304,2000000,0.073964,27.040,36.982
37695.858,2000000,0.075419,26.519,37.709
37834.840,2000000,0.075144,26.615,37.572
37965.713,2000000,0.073684,27.143,36.842
38083.022,2000000,0.074478,26.854,37.239
38221.772,2000000,0.071608,27.930,35.804
38322.631,2000000,0.071894,27.819,35.947
38453.043,2000000,0.073692,27.140,36.846
38600.184,2000000,0.075809,26.382,37.904
38727.574,2000000,0.076379,26.185,38.190
38872.712,2000000,0.075290,26.564,37.645
39021.534,2000000,0.074279,26.926,37.139
39179.234,2000000,0.073731,27.126,36.866
39311.317,2000000,0.075092,26.634,37.546
39444.915,2000000,0.074732,26.762,37.366
39584.264,2000000,0.074719,26.767,37.359
39666.735,2000000,0.077277,25.881,38.638
39771.449,2000000,0.080637,24.803,40.318
39897.848,2000000,0.077918,25.668,38.959
40047.734,2000000,0.078100,25.608,39.050
40193.671,2000000,0.079125,25.276,39.563
40319.408,2000000,0.078767,25.391,39.383
40473.428,2000000,0.077203,25.906,38.602
40613.860,2000000,0.075259,26.575,37.630
40766.178,2000000,0.075207,26.593,37.603
40922.220,2000000,0.074578,26.818,37.289
41065.029,2000000,0.074360,26.896,37.180
41223.294,2000000,0.072771,27.484,36.385
41384.877,2000000,0.072987,27.402,36.494
41537.962,2000000,0.075028,26.657,37.514
41699.591,2000000,0.074841,26.723,37.421
41861.903,2000000,0.073837,27.087,36.919
42026.217,2000000,0.073947,27.046,36.974
42192.138,2000000,0.074908,26.699,37.454
42344.005,2000000,0.075884,26.356,37.942
42516.285,2000000,0.073378,27.256,36.689
42694.776,2000000,0.071405,28.009,35.702
42872.066,2000000,0.072407,27.622,36.203
43060.769,2000000,0.071972,27.788,35.986
43243.439,2000000,0.071331,28.038,35.666
43396.661,2000000,0.071460,27.987,35.730
43590.582,2000000,0.075254,26.577,37.627
43791.808,2000000,0.072828,27.462,36.414
43999.242,2000000,0.072400,27.624,36.200
44209.414,2000000,0.070739,28.273,35.369
44378.447,2000000,0.070633,28.315,35.316
44539.305,2000000,0.070977,28.178,35.488
44705.399,2000000,0.072110,27.735,36.055
44902.006,2000000,0.074433,26.870,37.216
45111.599,2000000,0.074287,26.923,37.144
45287.963,2000000,0.075267,26.572,37.633
45471.363,2000000,0.074484,26.852,37.242
45680.174,2000000,0.073868,27.075,36.934
45873.153,2000000,0.074367,26.894,37.183
46078.149,2000000,0.073969,27.038,36.984
46308.066,2000000,0.073700,27.137,36.850
46535.464,2000000,0.073671,27.148,36.835
46761.310,2000000,0.074701,26.773,37.350
46986.835,2000000,0.074471,26.856,37.236
47218.562,2000000,0.073056,27.376,36.528
47462.206,2000000,0.073302,27.284,36.651
47706.880,2000000,0.074275,26.927,37.137
47950.049,2000000,0.074604,26.808,37.302
48132.680,2000000,0.076607,26.107,38.303
48330.658,2000000,0.076257,26.227,38.129
48573.812,2000000,0.073354,27.265,36.677
48795.498,2000000,0.072677,27.519,36.339
49033.868,2000000,0.072137,27.725,36.068
49272.582,2000000,0.072796,27.474,36.398
49492.061,2000000,0.072595,27.550,36.297
49670.679,2000000,0.074014,27.022,37.007
49862.978,2000000,0.073837,27.087,36.918
50053.839,2000000,0.073381,27.255,36.691
50234.970,2000000,0.073839,27.086,36.919
50405.346,2000000,0.078932,25.338,39.466
50434.743,2000000,0.094269,21.216,47.134
50480.245,2000000,0.088480,22.604,44.240
50566.408,2000000,0.085099,23.502,42.549
50656.324,2000000,0.083103,24.066,41.552
50747.361,2000000,0.082405,24.270,41.203
50878.913,2000000,0.078724,25.405,39.362
51002.854,2000000,0.080007,24.998,40.004
51081.272,2000000,0.072964,27.411,36.482
51177.983,2000000,0.073494,27.213,36.747
51279.702,2000000,0.069912,28.607,34.956
51342.528,2000000,0.072448,27.606,36.224
51427.451,2000000,0.072296,27.664,36.148
51513.844,2000000,0.073996,27.029,36.998
51621.253,2000000,0.073030,27.386,36.515
51698.213,2000000,0.075029,26.656,37.515
51793.917,2000000,0.075623,26.447,37.812
51901.849,2000000,0.074251,26.936,37.126
52035.891,2000000,0.072381,27.632,36.191
52146.460,2000000,0.072882,27.442,36.441
52266.816,2000000,0.073183,27.329,36.591
52377.673,2000000,0.072749,27.492,36.374
52498.137,2000000,0.071956,27.795,35.978
52579.597,2000000,0.074017,27.021,37.009
52668.550,2000000,0.074378,26.890,37.189
52757.084,2000000,0.074689,26.778,37.344
52863.370,2000000,0.072700,27.510,36.350
52991.853,2000000,0.072314,27.657,36.157
53090.291,2000000,0.074765,26.751,37.382
53205.940,2000000,0.074682,26.780,37.341
53304.784,2000000,0.074932,26.691,37.466
53444.480,2000000,0.072589,27.552,36.295
53537.938,2000000,0.073734,27.124,36.867
53614.587,2000000,0.076650,26.093,38.325
53731.133,2000000,0.074734,26.762,37.367
53830.793,2000000,0.075206,26.594,37.603
53950.304,2000000,0.075390,26.529,37.695
54083.080,2000000,0.074484,26.852,37.242
54213.765,2000000,0.072522,27.578,36.261
54320.251,2000000,0.072701,27.510,36.351
54428.861,2000000,0.074235,26.941,37.118
54558.086,2000000,0.073018,27.391,36.509
54660.144,2000000,0.074745,26.758,37.373
54763.798,2000000,0.071951,27.797,35.976
54897.464,2000000,0.071822,27.847,35.911
55014.416,2000000,0.072109,27.736,36.055
55138.809,2000000,0.072239,27.686,36.119
55264.898,2000000,0.073118,27.353,36.559
55373.880,2000000,0.073888,27.068,36.944
55500.897,2000000,0.072187,27.706,36.094
55657.830,2000000,0.071359,28.027,35.680
55770.504,2000000,0.071294,28.053,35.647
55866.370,2000000,0.070940,28.193,35.470
55974.085,2000000,0.069160,28.918,34.580
56088.321,2000000,0.071957,27.794,35.978
56178.337,2000000,0.073639,27.160,36.819
56318.039,2000000,0.072884,27.441,36.442
56431.440,2000000,0.073520,27.203,36.760
56523.415,2000000,0.073187,27.327,36.593
56643.671,2000000,0.072079,27.747,36.040
56733.452,2000000,0.072285,27.668,36.142
56850.012,2000000,0.073431,27.237,36.715
56982.362,2000000,0.070190,28.494,35.095
57085.871,2000000,0.070567,28.342,35.284
57187.026,2000000,0.071003,28.168,35.502
57282.905,2000000,0.070212,28.485,35.106
57323.378,2000000,0.071876,27.826,35.938
57378.883,2000000,0.061986,32.265,30.993
57440.649,2000000,0.059054,33.867,29.527
57496.013,2000000,0.065047,30.747,32.523
57547.532,2000000,0.064278,31.115,32.139
57583.860,2000000,0.070702,28.288,35.351
57600.677,2000000,0.087503,22.856,43.752
64897.609,2000000,0.082286,24.305,41.143
72300.000,366634,0.012568,29.172,34.280
